Sample:	'20211010A(EM)
File name:	r-cds 1;5 2.FDS
Run date:	'08:06:33, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	530.0 nm
EM  Start WL:	550.0 nm
EM  End WL:	900.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	800 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
32	642.6	645.4	647.8	93.08	647.8	83.92
33	647.8	649.4	652.6	92.45	652.6	83.84
34	652.6	653.4	655.6	89.00	655.6	74.90
35	655.6	657.0	658.0	84.03	658.0	75.41
36	658.0	659.4	660.2	85.29	660.2	75.32
37	660.2	661.2	663.2	80.98	663.2	72.52
38	663.2	664.0	666.0	79.24	666.0	66.67
39	666.0	668.0	669.0	70.97	669.0	60.43
40	669.0	669.6	673.0	72.02	673.0	54.38
41	673.0	673.8	679.2	60.00	679.2	45.60
42	679.2	680.6	685.6	50.36	685.6	40.30
43	685.6	686.6	690.4	43.91	690.4	34.44
44	690.4	691.0	691.4	40.58	691.4	35.28
45	691.4	692.4	693.6	37.84	693.6	33.32
46	693.6	694.2	696.6	38.48	696.6	29.58
47	696.6	698.0	698.8	34.27	698.8	28.49
48	698.8	699.6	702.2	32.23	702.2	25.67
49	702.2	704.0	707.2	30.12	707.2	22.53
50	707.2	709.0	711.6	26.25	711.6	21.63
51	711.6	712.2	713.2	23.82	713.2	20.16
52	713.2	714.2	715.4	22.37	715.4	17.81
53	715.4	716.2	717.4	21.41	717.4	17.56
54	717.4	718.2	718.6	20.31	718.6	17.79
55	718.6	719.8	721.4	19.61	721.4	16.43
56	721.4	723.4	725.0	18.97	725.0	15.34
57	725.0	727.2	729.4	17.93	729.4	12.63
58	729.4	730.2	732.0	16.80	732.0	12.51
59	732.0	734.0	734.8	15.00	734.8	10.07
60	734.8	738.4	739.2	13.50	739.2	9.842
61	739.2	741.8	745.8	13.01	745.8	8.433
62	745.8	746.4	747.6	10.01	747.6	7.600
63	747.6	749.4	750.8	8.711	750.8	6.076
64	750.8	751.4	752.6	7.862	752.6	5.830
65	752.6	754.4	755.2	9.949	755.2	6.851
66	755.2	756.2	759.0	8.099	759.0	5.665
67	759.0	759.8	762.4	8.381	762.4	4.846
68	762.4	763.2	766.2	7.505	766.2	5.342
69	766.2	767.6	769.0	7.875	769.0	4.261
70	769.0	769.8	770.4	6.503	770.4	4.425
71	770.4	771.8	772.6	6.710	772.6	3.868
72	772.6	773.2	775.4	5.880	775.4	3.306
73	775.4	779.8	780.4	6.210	780.4	3.497
74	780.4	781.2	782.0	6.096	782.0	3.061
75	782.0	782.8	784.2	5.415	784.2	3.078
76	784.2	785.2	787.4	5.924	787.4	2.812
77	787.4	789.0	789.6	6.567	789.6	3.759
78	789.6	790.8	792.8	5.083	792.8	2.613
79	792.8	793.8	796.6	5.340	796.6	2.377
80	796.6	797.4	797.8	4.726	797.8	3.438
81	797.8	798.8	801.0	4.907	801.0	3.098
82	801.0	801.8	802.8	5.798	802.8	2.760
83	802.8	803.8	805.0	5.576	805.0	2.903
84	805.0	806.0	807.8	5.424	807.8	2.046
85	807.8	808.8	809.4	4.793	809.4	2.935
86	809.4	811.6	812.2	4.406	812.2	2.134
87	812.2	813.0	814.0	4.326	814.0	2.776
88	814.0	814.8	816.6	5.281	816.6	2.444
89	816.6	818.6	819.8	6.772	819.8	2.499
90	819.8	820.4	821.4	5.288	821.4	3.383
91	821.4	822.2	823.0	5.451	823.0	3.457
92	823.0	823.4	825.2	4.954	825.2	3.152
93	825.2	826.0	828.0	6.303	828.0	3.351
94	828.0	828.6	831.2	5.458	831.2	2.442
95	831.2	833.4	836.2	4.950	836.2	1.875
96	836.2	837.0	839.6	3.898	839.6	1.921
97	839.6	841.2	843.8	3.269	843.8	1.822
98	843.8	845.6	847.0	3.676	847.0	1.838
99	847.0	847.6	850.2	3.466	850.2	1.481
100	850.2	851.6	855.0	3.124	855.0	1.105
101	855.0	858.2	858.8	2.439	858.8	0.818
102	858.8	859.6	860.0	2.417	860.0	1.353
103	860.0	862.0	863.2	2.959	863.2	1.289
104	863.2	863.8	864.4	3.355	864.4	1.198
105	864.4	865.0	867.8	3.487	867.8	1.177
106	867.8	870.4	873.0	2.606	873.0	1.321
107	873.0	873.8	877.4	2.442	877.4	1.091
108	877.4	879.4	880.0	2.458	880.0	1.208
109	880.0	881.4	882.8	2.361	882.8	1.133
110	882.8	884.4	885.2	3.250	885.2	1.918
111	885.2	886.0	886.2	2.927	886.2	1.876
112	886.2	887.6	888.8	3.086	888.8	1.115
113	888.8	889.6	892.8	2.568	892.8	1.520
114	892.8	895.0	895.6	3.300	895.6	0.916
115	895.6	896.8	897.4	3.471	897.4	1.267

Data points
nm	Data
550.0	37.01
550.2	30.04
550.4	26.64
550.6	25.39
550.8	24.57
551.0	22.43
551.2	21.01
551.4	19.57
551.6	18.40
551.8	18.27
552.0	18.64
552.2	18.27
552.4	18.39
552.6	18.41
552.8	19.06
553.0	20.31
553.2	19.13
553.4	18.66
553.6	18.08
553.8	17.13
554.0	18.67
554.2	19.39
554.4	17.29
554.6	15.92
554.8	17.37
555.0	18.85
555.2	20.14
555.4	21.37
555.6	20.61
555.8	18.61
556.0	18.27
556.2	19.10
556.4	19.13
556.6	20.67
556.8	19.52
557.0	18.17
557.2	18.16
557.4	19.25
557.6	20.18
557.8	21.58
558.0	20.87
558.2	20.87
558.4	20.30
558.6	20.44
558.8	19.79
559.0	20.42
559.2	20.88
559.4	21.26
559.6	20.59
559.8	21.39
560.0	21.41
560.2	21.86
560.4	21.36
560.6	21.45
560.8	21.97
561.0	21.47
561.2	22.96
561.4	23.36
561.6	22.83
561.8	23.61
562.0	22.84
562.2	22.00
562.4	22.61
562.6	23.68
562.8	26.64
563.0	28.46
563.2	27.58
563.4	26.19
563.6	25.63
563.8	24.40
564.0	25.42
564.2	25.27
564.4	26.75
564.6	27.07
564.8	30.33
565.0	30.25
565.2	30.16
565.4	29.15
565.6	29.71
565.8	28.64
566.0	29.17
566.2	26.99
566.4	28.28
566.6	29.10
566.8	30.33
567.0	30.83
567.2	31.24
567.4	29.15
567.6	30.12
567.8	30.58
568.0	28.95
568.2	29.28
568.4	30.51
568.6	31.61
568.8	33.06
569.0	33.49
569.2	30.70
569.4	30.94
569.6	31.86
569.8	32.87
570.0	33.57
570.2	34.48
570.4	32.71
570.6	32.48
570.8	33.01
571.0	33.35
571.2	34.82
571.4	36.68
571.6	37.68
571.8	37.80
572.0	35.52
572.2	35.21
572.4	35.04
572.6	35.16
572.8	36.46
573.0	36.18
573.2	37.23
573.4	39.39
573.6	40.50
573.8	43.27
574.0	43.93
574.2	41.98
574.4	38.91
574.6	36.46
574.8	34.25
575.0	36.58
575.2	38.82
575.4	43.20
575.6	44.08
575.8	46.38
576.0	44.63
576.2	43.35
576.4	42.67
576.6	44.43
576.8	45.24
577.0	46.53
577.2	44.99
577.4	42.60
577.6	45.31
577.8	45.52
578.0	46.40
578.2	46.10
578.4	44.69
578.6	43.54
578.8	47.54
579.0	48.80
579.2	48.65
579.4	46.94
579.6	45.18
579.8	43.31
580.0	44.36
580.2	44.37
580.4	46.11
580.6	45.94
580.8	46.88
581.0	48.50
581.2	50.21
581.4	50.75
581.6	52.06
581.8	49.99
582.0	50.40
582.2	50.56
582.4	51.44
582.6	54.07
582.8	52.70
583.0	52.08
583.2	51.45
583.4	48.44
583.6	48.67
583.8	50.81
584.0	50.11
584.2	49.59
584.4	51.82
584.6	53.71
584.8	57.06
585.0	57.47
585.2	54.40
585.4	52.21
585.6	53.53
585.8	54.32
586.0	55.49
586.2	54.78
586.4	52.94
586.6	53.47
586.8	57.09
587.0	58.36
587.2	60.64
587.4	60.65
587.6	60.42
587.8	59.41
588.0	59.29
588.2	60.30
588.4	61.64
588.6	60.18
588.8	60.56
589.0	59.03
589.2	55.70
589.4	57.23
589.6	58.75
589.8	57.96
590.0	59.06
590.2	59.69
590.4	58.97
590.6	58.67
590.8	57.90
591.0	56.27
591.2	56.36
591.4	58.21
591.6	60.47
591.8	59.95
592.0	60.53
592.2	59.23
592.4	58.57
592.6	57.17
592.8	54.94
593.0	53.82
593.2	58.10
593.4	58.65
593.6	60.86
593.8	59.14
594.0	57.61
594.2	57.86
594.4	57.86
594.6	59.28
594.8	60.31
595.0	58.43
595.2	57.79
595.4	55.08
595.6	52.59
595.8	54.73
596.0	58.15
596.2	58.49
596.4	58.99
596.6	60.21
596.8	61.05
597.0	64.20
597.2	63.64
597.4	60.60
597.6	59.62
597.8	60.02
598.0	58.02
598.2	59.61
598.4	58.31
598.6	57.92
598.8	59.50
599.0	61.49
599.2	63.42
599.4	62.16
599.6	62.13
599.8	58.95
600.0	58.48
600.2	60.30
600.4	62.42
600.6	62.71
600.8	62.06
601.0	60.88
601.2	60.42
601.4	61.20
601.6	60.34
601.8	61.35
602.0	58.05
602.2	57.47
602.4	58.27
602.6	60.33
602.8	60.76
603.0	62.73
603.2	62.57
603.4	61.05
603.6	59.15
603.8	59.33
604.0	59.72
604.2	62.11
604.4	65.33
604.6	66.35
604.8	62.35
605.0	61.66
605.2	58.67
605.4	58.90
605.6	61.50
605.8	63.98
606.0	63.07
606.2	62.69
606.4	59.78
606.6	58.23
606.8	58.64
607.0	59.88
607.2	62.39
607.4	62.24
607.6	61.54
607.8	58.72
608.0	57.41
608.2	58.12
608.4	59.64
608.6	60.62
608.8	60.87
609.0	58.98
609.2	58.27
609.4	61.27
609.6	61.93
609.8	60.25
610.0	61.13
610.2	58.84
610.4	60.43
610.6	63.43
610.8	62.06
611.0	58.53
611.2	58.28
611.4	57.29
611.6	61.27
611.8	62.60
612.0	61.13
612.2	62.77
612.4	62.65
612.6	60.15
612.8	62.20
613.0	63.60
613.2	65.61
613.4	66.48
613.6	64.97
613.8	61.54
614.0	60.87
614.2	61.78
614.4	64.87
614.6	62.58
614.8	60.21
615.0	57.95
615.2	57.44
615.4	59.71
615.6	63.50
615.8	63.40
616.0	63.92
616.2	62.45
616.4	62.64
616.6	62.52
616.8	61.95
617.0	59.85
617.2	61.13
617.4	62.74
617.6	64.58
617.8	65.32
618.0	65.80
618.2	65.23
618.4	65.56
618.6	66.15
618.8	65.95
619.0	63.11
619.2	63.13
619.4	62.99
619.6	61.79
619.8	64.78
620.0	65.83
620.2	62.64
620.4	64.73
620.6	65.94
620.8	64.62
621.0	69.35
621.2	70.13
621.4	69.51
621.6	67.67
621.8	64.25
622.0	62.20
622.2	62.20
622.4	63.19
622.6	68.53
622.8	70.79
623.0	70.81
623.2	73.00
623.4	72.38
623.6	72.06
623.8	71.10
624.0	70.88
624.2	70.48
624.4	72.24
624.6	76.65
624.8	76.96
625.0	74.57
625.2	71.07
625.4	71.38
625.6	70.63
625.8	74.92
626.0	73.50
626.2	71.64
626.4	68.69
626.6	68.93
626.8	67.91
627.0	67.73
627.2	67.05
627.4	69.00
627.6	72.01
627.8	73.10
628.0	73.12
628.2	72.20
628.4	70.92
628.6	72.79
628.8	76.45
629.0	75.48
629.2	75.34
629.4	75.11
629.6	69.93
629.8	68.91
630.0	72.34
630.2	73.07
630.4	73.76
630.6	74.88
630.8	73.86
631.0	74.00
631.2	75.02
631.4	77.43
631.6	76.07
631.8	74.60
632.0	75.25
632.2	76.20
632.4	76.96
632.6	80.77
632.8	81.58
633.0	79.09
633.2	80.83
633.4	80.56
633.6	79.55
633.8	83.66
634.0	83.75
634.2	80.97
634.4	82.60
634.6	80.82
634.8	80.81
635.0	84.70
635.2	84.77
635.4	85.09
635.6	84.33
635.8	81.49
636.0	79.75
636.2	79.20
636.4	80.22
636.6	82.52
636.8	81.98
637.0	83.55
637.2	82.48
637.4	81.21
637.6	80.52
637.8	81.08
638.0	81.32
638.2	84.09
638.4	83.11
638.6	83.66
638.8	84.74
639.0	83.44
639.2	82.15
639.4	80.86
639.6	79.34
639.8	82.04
640.0	85.09
640.2	85.60
640.4	84.32
640.6	81.83
640.8	79.72
641.0	81.01
641.2	82.97
641.4	84.04
641.6	86.19
641.8	86.64
642.0	85.74
642.2	84.62
642.4	83.63
642.6	81.64
642.8	85.66
643.0	85.76
643.2	84.88
643.4	83.81
643.6	84.50
643.8	85.40
644.0	86.20
644.2	85.76
644.4	86.65
644.6	85.74
644.8	87.57
645.0	91.30
645.2	92.43
645.4	93.08
645.6	90.88
645.8	88.16
646.0	87.09
646.2	89.88
646.4	92.01
646.6	91.90
646.8	88.49
647.0	88.18
647.2	87.73
647.4	87.11
647.6	84.30
647.8	83.92
648.0	86.31
648.2	87.74
648.4	89.14
648.6	87.65
648.8	85.07
649.0	87.52
649.2	91.86
649.4	92.45
649.6	91.13
649.8	89.32
650.0	89.89
650.2	90.43
650.4	91.39
650.6	90.43
650.8	87.58
651.0	87.18
651.2	86.51
651.4	85.77
651.6	87.63
651.8	88.66
652.0	87.18
652.2	88.39
652.4	85.61
652.6	83.84
652.8	84.43
653.0	85.44
653.2	88.17
653.4	89.00
653.6	86.12
653.8	84.03
654.0	84.17
654.2	83.09
654.4	84.42
654.6	83.05
654.8	81.74
655.0	80.73
655.2	78.47
655.4	75.84
655.6	74.90
655.8	76.91
656.0	79.11
656.2	78.78
656.4	79.46
656.6	82.31
656.8	83.31
657.0	84.03
657.2	83.21
657.4	79.69
657.6	77.16
657.8	77.97
658.0	75.41
658.2	77.40
658.4	79.87
658.6	82.38
658.8	81.28
659.0	85.25
659.2	85.17
659.4	85.29
659.6	81.70
659.8	79.50
660.0	75.48
660.2	75.32
660.4	77.72
660.6	76.21
660.8	78.32
661.0	80.07
661.2	80.98
661.4	79.46
661.6	79.83
661.8	75.40
662.0	76.07
662.2	77.46
662.4	79.62
662.6	77.81
662.8	75.93
663.0	73.05
663.2	72.52
663.4	74.93
663.6	77.52
663.8	78.05
664.0	79.24
664.2	76.48
664.4	73.71
664.6	71.56
664.8	69.33
665.0	71.08
665.2	72.15
665.4	70.79
665.6	68.32
665.8	67.59
666.0	66.67
666.2	69.05
666.4	69.16
666.6	69.55
666.8	69.76
667.0	68.12
667.2	67.25
667.4	67.71
667.6	68.97
667.8	69.80
668.0	70.97
668.2	66.15
668.4	64.66
668.6	62.50
668.8	62.20
669.0	60.43
669.2	63.03
669.4	65.96
669.6	72.02
669.8	70.33
670.0	66.79
670.2	61.06
670.4	59.58
670.6	59.89
670.8	62.99
671.0	59.67
671.2	61.24
671.4	60.83
671.6	60.44
671.8	61.74
672.0	62.67
672.2	59.34
672.4	59.67
672.6	58.41
672.8	54.96
673.0	54.38
673.2	55.81
673.4	56.94
673.6	59.59
673.8	60.00
674.0	58.97
674.2	56.57
674.4	56.99
674.6	56.76
674.8	59.31
675.0	58.70
675.2	59.08
675.4	57.39
675.6	56.73
675.8	55.86
676.0	56.43
676.2	55.06
676.4	53.45
676.6	52.42
676.8	50.52
677.0	50.86
677.2	51.96
677.4	50.57
677.6	50.90
677.8	50.41
678.0	48.76
678.2	49.37
678.4	51.58
678.6	48.37
678.8	46.98
679.0	45.85
679.2	45.60
679.4	47.25
679.6	48.47
679.8	47.67
680.0	48.97
680.2	49.98
680.4	49.33
680.6	50.36
680.8	48.37
681.0	49.36
681.2	49.26
681.4	47.54
681.6	45.43
681.8	45.27
682.0	43.52
682.2	45.12
682.4	44.21
682.6	42.90
682.8	42.82
683.0	43.89
683.2	44.80
683.4	46.04
683.6	43.81
683.8	40.96
684.0	41.62
684.2	42.67
684.4	44.16
684.6	43.71
684.8	41.53
685.0	40.68
685.2	41.40
685.4	41.47
685.6	40.30
685.8	40.69
686.0	40.44
686.2	42.78
686.4	43.55
686.6	43.91
686.8	41.29
687.0	43.03
687.2	42.80
687.4	42.29
687.6	40.27
687.8	40.09
688.0	37.62
688.2	39.63
688.4	40.72
688.6	40.64
688.8	37.33
689.0	36.19
689.2	35.07
689.4	36.53
689.6	38.20
689.8	40.58
690.0	38.58
690.2	35.05
690.4	34.44
690.6	35.96
690.8	37.40
691.0	40.58
691.2	40.15
691.4	35.28
691.6	35.36
691.8	36.16
692.0	35.40
692.2	37.66
692.4	37.84
692.6	35.39
692.8	36.84
693.0	36.54
693.2	34.16
693.4	33.91
693.6	33.32
693.8	35.02
694.0	36.88
694.2	38.48
694.4	37.48
694.6	35.63
694.8	32.72
695.0	31.30
695.2	31.78
695.4	32.03
695.6	32.30
695.8	32.93
696.0	31.11
696.2	29.89
696.4	30.73
696.6	29.58
696.8	30.92
697.0	31.22
697.2	30.41
697.4	32.15
697.6	32.50
697.8	32.57
698.0	34.27
698.2	31.58
698.4	30.56
698.6	29.88
698.8	28.49
699.0	28.83
699.2	30.15
699.4	30.59
699.6	32.23
699.8	31.24
700.0	30.34
700.2	30.93
700.4	30.65
700.6	30.87
700.8	31.58
701.0	28.99
701.2	29.13
701.4	29.19
701.6	28.33
701.8	27.73
702.0	27.09
702.2	25.67
702.4	27.93
702.6	28.06
702.8	27.52
703.0	27.07
703.2	26.23
703.4	26.52
703.6	29.02
703.8	29.33
704.0	30.12
704.2	29.72
704.4	28.53
704.6	28.31
704.8	28.32
705.0	27.35
705.2	26.92
705.4	26.32
705.6	25.94
705.8	27.13
706.0	27.72
706.2	26.96
706.4	26.83
706.6	26.94
706.8	24.68
707.0	23.96
707.2	22.53
707.4	22.87
707.6	24.11
707.8	25.79
708.0	25.24
708.2	24.80
708.4	23.62
708.6	24.96
708.8	25.29
709.0	26.25
709.2	24.89
709.4	23.31
709.6	22.11
709.8	21.55
710.0	22.21
710.2	23.73
710.4	22.22
710.6	23.03
710.8	23.17
711.0	22.42
711.2	21.66
711.4	22.22
711.6	21.63
711.8	22.58
712.0	23.57
712.2	23.82
712.4	22.78
712.6	22.81
712.8	22.99
713.0	22.20
713.2	20.16
713.4	20.18
713.6	20.48
713.8	20.90
714.0	22.29
714.2	22.37
714.4	21.35
714.6	20.69
714.8	19.44
715.0	18.94
715.2	17.94
715.4	17.81
715.6	19.13
715.8	19.74
716.0	20.49
716.2	21.41
716.4	19.33
716.6	18.23
716.8	18.78
717.0	19.25
717.2	18.73
717.4	17.56
717.6	17.75
717.8	18.30
718.0	20.18
718.2	20.31
718.4	18.30
718.6	17.79
718.8	17.99
719.0	18.20
719.2	18.46
719.4	19.22
719.6	18.44
719.8	19.61
720.0	19.39
720.2	18.58
720.4	18.25
720.6	18.57
720.8	17.42
721.0	16.90
721.2	17.37
721.4	16.43
721.6	17.46
721.8	18.60
722.0	18.48
722.2	18.55
722.4	18.33
722.6	18.29
722.8	18.21
723.0	17.76
723.2	17.43
723.4	18.97
723.6	18.63
723.8	18.42
724.0	17.94
724.2	17.47
724.4	16.02
724.6	15.95
724.8	16.01
725.0	15.34
725.2	15.99
725.4	17.11
725.6	17.17
725.8	16.53
726.0	17.31
726.2	17.47
726.4	16.18
726.6	15.48
726.8	16.97
727.0	17.28
727.2	17.93
727.4	16.81
727.6	15.01
727.8	15.01
728.0	16.45
728.2	17.30
728.4	18.10
728.6	16.66
728.8	14.88
729.0	13.56
729.2	12.75
729.4	12.63
729.6	14.40
729.8	16.38
730.0	16.61
730.2	16.80
730.4	15.88
730.6	15.27
730.8	14.92
731.0	15.77
731.2	14.30
731.4	13.71
731.6	12.97
731.8	12.83
732.0	12.51
732.2	13.76
732.4	14.15
732.6	14.55
732.8	14.70
733.0	14.49
733.2	13.88
733.4	13.77
733.6	14.80
733.8	15.00
734.0	15.00
734.2	14.08
734.4	12.50
734.6	10.47
734.8	10.07
735.0	10.66
735.2	11.92
735.4	12.04
735.6	12.39
735.8	11.30
736.0	11.28
736.2	11.82
736.4	11.91
736.6	11.14
736.8	12.54
737.0	11.93
737.2	11.75
737.4	11.83
737.6	12.05
737.8	11.79
738.0	12.40
738.2	13.11
738.4	13.50
738.6	13.27
738.8	13.16
739.0	12.14
739.2	9.842
739.4	10.21
739.6	10.77
739.8	10.73
740.0	11.65
740.2	12.51
740.4	12.17
740.6	12.62
740.8	12.07
741.0	11.10
741.2	11.67
741.4	12.25
741.6	12.23
741.8	13.01
742.0	12.75
742.2	11.92
742.4	11.56
742.6	11.04
742.8	10.21
743.0	11.12
743.2	11.18
743.4	11.78
743.6	11.49
743.8	11.68
744.0	10.53
744.2	10.60
744.4	9.788
744.6	9.310
744.8	8.453
745.0	8.815
745.2	8.714
745.4	8.900
745.6	9.144
745.8	8.433
746.0	8.730
746.2	9.652
746.4	10.01
746.6	9.527
746.8	9.623
747.0	8.762
747.2	8.105
747.4	7.628
747.6	7.600
747.8	7.788
748.0	7.670
748.2	8.264
748.4	8.479
748.6	8.001
748.8	8.706
749.0	8.666
749.2	7.931
749.4	8.711
749.6	7.956
749.8	7.328
750.0	7.909
750.2	7.717
750.4	7.029
750.6	6.542
750.8	6.076
751.0	6.948
751.2	7.706
751.4	7.862
751.6	7.282
751.8	6.617
752.0	6.013
752.2	6.453
752.4	6.443
752.6	5.830
752.8	5.878
753.0	7.034
753.2	7.707
753.4	8.303
753.6	8.217
753.8	7.894
754.0	8.631
754.2	9.404
754.4	9.949
754.6	8.857
754.8	7.308
755.0	6.905
755.2	6.851
755.4	6.878
755.6	7.047
755.8	7.003
756.0	7.272
756.2	8.099
756.4	7.885
756.6	8.024
756.8	7.379
757.0	6.617
757.2	6.817
757.4	6.995
757.6	6.301
757.8	6.142
758.0	5.995
758.2	6.322
758.4	6.787
758.6	6.829
758.8	6.314
759.0	5.665
759.2	5.715
759.4	6.858
759.6	7.540
759.8	8.381
760.0	8.108
760.2	7.800
760.4	7.146
760.6	6.867
760.8	6.854
761.0	7.358
761.2	6.649
761.4	7.023
761.6	6.310
761.8	5.576
762.0	5.071
762.2	5.104
762.4	4.846
762.6	6.078
762.8	6.437
763.0	7.021
763.2	7.505
763.4	7.167
763.6	6.786
763.8	6.865
764.0	5.731
764.2	5.462
764.4	5.931
764.6	5.516
764.8	5.890
765.0	5.890
765.2	5.627
765.4	5.770
765.6	5.873
765.8	5.747
766.0	5.858
766.2	5.342
766.4	6.183
766.6	6.626
766.8	6.470
767.0	6.305
767.2	7.268
767.4	7.808
767.6	7.875
767.8	6.931
768.0	5.891
768.2	5.488
768.4	6.070
768.6	6.472
768.8	5.040
769.0	4.261
769.2	4.538
769.4	5.749
769.6	6.241
769.8	6.503
770.0	5.347
770.2	4.583
770.4	4.425
770.6	4.638
770.8	4.506
771.0	4.640
771.2	4.507
771.4	4.965
771.6	5.560
771.8	6.710
772.0	6.688
772.2	5.610
772.4	4.408
772.6	3.868
772.8	4.249
773.0	5.112
773.2	5.880
773.4	5.817
773.6	4.978
773.8	4.509
774.0	4.458
774.2	4.245
774.4	5.248
774.6	5.711
774.8	4.401
775.0	4.060
775.2	3.472
775.4	3.306
775.6	3.760
775.8	3.714
776.0	4.225
776.2	4.517
776.4	4.630
776.6	4.655
776.8	4.418
777.0	4.107
777.2	4.464
777.4	4.008
777.6	4.451
777.8	4.237
778.0	4.202
778.2	4.494
778.4	5.132
778.6	5.354
778.8	5.851
779.0	4.592
779.2	3.744
779.4	4.764
779.6	5.835
779.8	6.210
780.0	5.947
780.2	4.387
780.4	3.497
780.6	3.740
780.8	4.679
781.0	5.758
781.2	6.096
781.4	5.661
781.6	5.017
781.8	3.391
782.0	3.061
782.2	3.318
782.4	4.139
782.6	5.000
782.8	5.415
783.0	4.771
783.2	4.159
783.4	4.442
783.6	4.695
783.8	4.251
784.0	3.319
784.2	3.078
784.4	3.196
784.6	4.069
784.8	4.972
785.0	5.556
785.2	5.924
785.4	5.346
785.6	5.118
785.8	4.598
786.0	4.543
786.2	4.735
786.4	5.492
786.6	4.784
786.8	4.664
787.0	4.255
787.2	3.446
787.4	2.812
787.6	3.107
787.8	3.285
788.0	3.639
788.2	3.961
788.4	4.220
788.6	5.354
788.8	6.108
789.0	6.567
789.2	6.122
789.4	4.353
789.6	3.759
789.8	4.510
790.0	4.728
790.2	4.909
790.4	5.049
790.6	4.658
790.8	5.083
791.0	5.002
791.2	4.112
791.4	3.324
791.6	2.866
791.8	3.130
792.0	3.675
792.2	3.505
792.4	3.627
792.6	3.296
792.8	2.613
793.0	3.125
793.2	3.310
793.4	4.136
793.6	5.237
793.8	5.340
794.0	4.926
794.2	3.887
794.4	2.849
794.6	2.314
794.8	3.450
795.0	4.517
795.2	4.624
795.4	3.668
795.6	3.534
795.8	2.938
796.0	3.222
796.2	3.168
796.4	2.757
796.6	2.377
796.8	3.191
797.0	3.893
797.2	4.301
797.4	4.726
797.6	4.506
797.8	3.438
798.0	3.597
798.2	3.516
798.4	3.967
798.6	4.716
798.8	4.907
799.0	4.460
799.2	4.764
799.4	4.470
799.6	4.333
799.8	4.162
800.0	4.475
800.2	4.298
800.4	4.493
800.6	4.096
800.8	3.635
801.0	3.098
801.2	3.579
801.4	4.053
801.6	4.859
801.8	5.798
802.0	5.304
802.2	4.152
802.4	3.603
