Sample:	'20211010A(EM)	
File name:	G-CDs 8 800.FDS	
Run date:	'10:43:22, 06/11/2023	
Operator:	Administrator	
Comment:	'	
		
Instrument		
Model:	F-4700 FL Spectrophotometer	
Serial number:	2019-001	
ROM Version:	5J24010 00	
		
Instrument parameters		
Measurement type:	Wavelength scan	
Scan mode:	Emission	
Data mode:	Fluorescence	
EX WL:	400.0 nm	
EM  Start WL:	420.0 nm	
EM  End WL:	800.0 nm	
Scan speed:	1200 nm/min	
Delay:	0.0 s	
EX Slit:	10.0 nm	
EM Slit:	10.0 nm	
PMT Voltage:	440 V	
Response:	0.002 s	
Corrected spectra:	Off	
Shutter control:	On	
		
Data points		
671.6	284.2	
671.8	282.4	
672.0	281.5	
672.2	280.2	
672.4	277.9	
672.6	275.0	
672.8	271.4	
673.0	268.0	
673.2	265.5	
673.4	265.1	
673.6	264.5	
673.8	262.5	
674.0	260.2	
674.2	258.0	
674.4	255.4	
674.6	254.5	
674.8	253.5	
675.0	251.1	
675.2	249.1	
675.4	246.9	
675.6	244.3	
675.8	242.8	
676.0	241.0	
676.2	238.6	
676.4	237.1	
676.6	236.3	
676.8	235.5	
677.0	234.3	
677.2	232.1	
677.4	229.3	
677.6	226.0	
677.8	224.2	
678.0	222.4	
678.2	221.4	
678.4	221.0	
678.6	219.4	
678.8	216.4	
679.0	215.0	
679.2	213.6	
679.4	212.8	
679.6	212.5	
679.8	210.8	
680.0	209.2	
680.2	207.7	
680.4	205.6	
680.6	203.1	
680.8	201.2	
681.0	200.1	
681.2	200.0	
681.4	199.2	
681.6	196.9	
681.8	195.4	
682.0	193.7	
682.2	191.7	
682.4	190.2	
682.6	188.5	
682.8	187.1	
683.0	186.9	
683.2	185.3	
683.4	183.6	
683.6	182.0	
683.8	180.0	
684.0	178.8	
684.2	177.3	
684.4	175.6	
684.6	175.6	
684.8	174.3	
685.0	173.2	
685.2	171.7	
685.4	169.9	
685.6	168.1	
685.8	167.3	
686.0	166.1	
686.2	165.0	
686.4	164.1	
686.6	163.5	
686.8	161.5	
687.0	160.1	
687.2	159.1	
687.4	157.8	
687.6	156.7	
